--------------------------------------------------------------------------------
|Rank|    Word    |Actual Freq | Zipf Frac  | Zipf Freq  |Actual Diff |Pct Diff|
--------------------------------------------------------------------------------
|   1|va          |       38377|         1/1|    38377.00|        0.00| 100.00%|
|   2|bilan       |       15434|         1/2|    19188.50|    -3754.50|  80.43%|
|   3|uchun       |        9764|         1/3|    12792.33|    -3028.33|  76.33%|
|   4|bu          |        9524|         1/4|     9594.25|      -70.25|  99.27%|
|   5|bo`yicha    |        8535|         1/5|     7675.40|      859.60| 111.20%|
|   6|o`zbekiston |        8202|         1/6|     6396.17|     1805.83| 128.23%|
|   7|tomonidan   |        7124|         1/7|     5482.43|     1641.57| 129.94%|
|   8|ham         |        6067|         1/8|     4797.12|     1269.88| 126.47%|
|   9|davlat      |        6019|         1/9|     4264.11|     1754.89| 141.15%|
|  10|yil         |        5684|        1/10|     3837.70|     1846.30| 148.11%|
|  11|bir         |        5354|        1/11|     3488.82|     1865.18| 153.46%|
|  12|bo`lgan     |        5279|        1/12|     3198.08|     2080.92| 165.07%|
|  13|kuni        |        5203|        1/13|     2952.08|     2250.92| 176.25%|
|  14|toshkent    |        4991|        1/14|     2741.21|     2249.79| 182.07%|
|  15|xabar       |        4817|        1/15|     2558.47|     2258.53| 188.28%|
|  16|hamda       |        4792|        1/16|     2398.56|     2393.44| 199.79%|
|  17|ko`ra       |        4580|        1/17|     2257.47|     2322.53| 202.88%|
|  18|tashkil     |        4557|        1/18|     2132.06|     2424.94| 213.74%|
|  19|ushbu       |        4529|        1/19|     2019.84|     2509.16| 224.23%|
|  20|olib        |        4440|        1/20|     1918.85|     2521.15| 231.39%|
|  21|ta          |        4389|        1/21|     1827.48|     2561.52| 240.17%|
|  22|respublikasi|        4318|        1/22|     1744.41|     2573.59| 247.53%|
|  23|haqda       |        4116|        1/23|     1668.57|     2447.43| 246.68%|
|  24|ma`lum      |        3920|        1/24|     1599.04|     2320.96| 245.15%|
|  25|bo`ladi     |        3891|        1/25|     1535.08|     2355.92| 253.47%|
|  26|shu         |        3824|        1/26|     1476.04|     2347.96| 259.07%|
|  27|amalga      |        3703|        1/27|     1421.37|     2281.63| 260.52%|
|  28|mumkin      |        3638|        1/28|     1370.61|     2267.39| 265.43%|
|  29|qilish      |        3612|        1/29|     1323.34|     2288.66| 272.94%|
