,word,freq
63,va,858
40,ham,839
48,bilan,737
1127,edi,727
105,bu,710
563,men,551
56,bir,464
364,uchun,452
311,u,437
47,shu,412
296,deb,324
898,nima,295
257,shunday,286
579,lekin,286
385,ana,266
768,kerak,254
322,o‘z,242
401,hech,226
34,bo‘lib,224
36,uning,222
222,emas,215
2069,bork,214
194,ekan,211
55,har,207
838,qanday,202
369,bo‘lsa,200
4940,sen,194
568,mening,191
1422,qilib,189
169,bo‘lgan,185
342,yo‘q,180
957,endi,157
1303,o‘sha,157
575,hamma,146
776,esa,144
402,kim,142
52,bor,139
760,mumkin,139
109,yana,137
781,haqida,137
370,biz,134
188,boshqa,134
610,filofey,133
539,butun,128
619,o‘zi,128
453,olib,127
2068,robert,123
1631,ha,121
2344,ular,120
163,uni,115
769,bo‘ldi,115
363,siz,111
778,narsa,110
440,o‘zini,109
384,xuddi,106
2401,meni,105
2421,jessi,104
273,bunday,103
577,odamlar,101
541,barcha,100
6579,entoni,97
1812,qandaydir,96
5900,ordok,94
361,gap,89
560,mana,88
566,edim,87
25,eng,86
1205,buni,86
374,bizning,85
458,menga,85
381,qilish,84
219,qolgan,83
156,bo‘ladi,82
373,odam,82
930,haqda,82
721,kelib,81
616,qilgan,80
538,yo‘l,80
35,qoldi,80
623,aytib,80
553,yoki,79
777,ko‘p,77
770,ehtimol,75
17,kassandra,75
65,yangi,74
863,keyin,74
1295,ko‘z,74
50,ularning,73
459,yerda,72
1436,oldida,72
221,kelgan,70
420,so‘ng,69
144,to‘g‘ri,68
2533,sening,67
1581,turgan,66
2169,samoviy,66
1856,faqat,66
500,paydo,66
782,hozir,66
1239,javob,65
735,bundan,64
719,degan,64
641,filofeyning,63
1321,ketdi,62
1312,dedi,61
1839,turib,60
502,buning,60
152,inson,59
1913,ish,59
2432,senga,59
6113,mister,58
275,qarshi,57
865,bo‘lishi,57
800,kabi,57
1279,axir,56
2251,kitlar,56
120,hatto,55
608,rohib,55
1293,qildi,55
26,yaxshi,55
92,kishi,54
2103,birdan,54
1181,hammasi,54
680,birinchi,54
1281,katta,54
128,so‘z,53
2902,sizning,53
1790,juda,53
236,agar,52
1110,albatta,52
2363,telefon,52
910,shuning,52
2114,ko‘rib,51
6580,yunger,51
417,bunga,51
1735,unga,50
4059,qarab,50
2444,nega,50
223,balki,50
59,vaqt,50
1348,xudo,49
6115,ordokning,49
565,bo‘lur,47
626,orqali,47
661,olomon,47
472,o‘zining,47
1650,olish,47
1135,harakat,47
136,dunyoga,46
645,bosh,46
467,ilmiy,45
5899,oliver,45
11,qilingan,44
1832,narsani,44
1179,ro‘y,44
1556,orasida,44
46,qiladi,44
1777,bilib,44
475,davom,44
18,tamg‘asi,43
419,shundan,43
421,butunlay,43
201,o‘ta,43
5619,seni,43
1161,dunyoda,42
1742,o‘ylab,42
1304,paytda,42
581,hali,41
759,olgan,40
720,fikr,40
232,dunyo,40
1333,bularning,40
2826,o‘zim,40
291,tashlab,40
2480,holda,40
736,necha,39
1424,yerga,39
2236,boshladi,39
2750,bergan,39
2622,sizga,39
1174,o’sha,39
1586,uchib,39
49,birga,39
917,hayot,38
1289,oldi,38
1054,to‘g‘risida,38
1463,suzib,38
631,murojaat,37
2351,biron,37
280,ayol,37
1200,ko‘tarib,37
933,ustidan,37
495,ikki,37
1186,biroq,37
1197,voqea,37
790,tushib,37
3836,o‘ziga,37
215,insoniyat,36
261,ekanligini,36
2970,o‘zimni,36
2473,siyosiy,36
463,majbur,36
654,keladi,35
1330,hammasini,35
195,odamlarning,35
1784,tasavvur,34
1991,keldi,34
1755,yuz,34
1317,turar,34
783,bugun,34
465,kosmik,34
1795,ustida,34
1183,chiqqan,34
2022,o‘xshab,34
780,kuni,34
208,yer,34
573,qilishga,33
1327,undan,33
43,ko‘ra,33
939,qilar,33
1553,qila,33
1806,bo‘lmaydi,33
124,oldin,33
501,bo‘lar,33
3945,g‘alati,32
1998,berdi,32
1091,aytganda,32
2115,quloq,32
1132,umuman,32
4077,turli,31
2672,yo‘lida,31
5442,kechasi,31
506,taqdiri,31
263,chunki,31
1373,yurgan,30
89,ega,30
1363,hammaning,30
672,tushunib,30
2530,tayyor,30
1779,bo‘lmasa,30
924,qancha,30
2442,emasman,30
