,word,freq
23,ham,1636
21,bir,1478
33,va,1405
244,edi,1366
144,bu,1260
43,bilan,1124
362,dedi,826
121,otabek,628
312,deb,567
172,uchun,532
317,uning,400
24,shu,399
615,men,390
2727,oyim,333
200,bo‘lsa,327
2822,kumush,295
306,nima,287
631,siz,260
491,ammo,259
375,ul,259
502,o‘z,256
59,yana,245
399,yo‘q,245
356,ekan,243
805,qilib,237
404,so‘ng,224
253,ikki,219
650,emas,218
2149,o‘zbek,217
283,bo‘lib,216
110,bo‘lg‘an,216
123,hoji,213
270,qarab,208
11810,zaynab,206
526,olib,205
2726,oftob,203
617,kun,202
469,endi,197
2786,usta,197
1038,qutidor,197
262,so‘radi,196
429,keyin,195
511,bor,187
379,hasanali,186
255,kelib,178
433,javob,173
15,biz,163
598,edim,163
554,edilar,159
310,homid,154
20,har,153
902,oldi,152
572,bo‘ldi,151
1610,qo‘ydi,151
727,yaxshi,148
370,juda,147
764,ko‘z,142
454,otabekning,141
501,unga,137
122,yusufbek,134
436,qaradi,133
513,menga,132
254,kishi,130
621,albatta,129
754,o‘zi,128
441,berdi,126
1044,manim,125
1290,nega,125
589,o‘zining,125
3513,qushbegi,124
610,sizning,124
1227,boshqa,124
192,holda,120
411,oz,119
81,shuning,116
1746,ketdi,112
681,necha,111
599,chunki,111
739,sizga,110
147,toshkand,110
1574,kim,109
345,bek,108
2251,ikkinchi,107
304,lekin,107
1579,hech,106
1947,yonig‘a,106
1289,qarshi,105
625,gap,104
752,degan,104
1519,qoldi,103
326,uni,103
378,chiqdi,100
624,to‘g‘ri,98
1692,o‘zini,98
4494,qayin,96
757,xotin,94
1913,chiqib,93
2852,kumushning,93
498,kerak,92
928,turg‘an,92
850,so‘z,90
2119,keldi,90
686,tag‘in,90
1719,faqat,89
882,vaqt,88
611,kabi,88
129,o‘n,88
1728,ustiga,88
13749,alim,87
233,yigit,87
903,bizning,86
1448,hali,86
564,qanday,85
95,ish,83
247,ichida,83
759,kulib,83
576,marg‘ilon,82
369,meni,81
346,aka,81
522,berib,80
1315,hozir,80
1191,azizbek,79
802,sen,78
523,undan,77
859,turib,77
2150,oyimning,76
2386,sodiq,75
1997,nihoyat,74
934,go‘yo,74
331,bo‘lmasa,74
1364,boshladi,73
478,otabekka,73
5735,qo‘rboshi,73
593,kelgan,73
1510,majbur,73
1648,o‘ylab,72
108,qora,72
1957,beri,71
280,besh,70
473,ketkan,69
3450,taqsir,68
286,ziyo,68
2269,qildi,68
2811,kumushbibi,67
2499,hamma,67
1794,uch,66
374,kirib,66
1136,qilg‘an,66
2228,qolg‘an,66
2430,mundan,66
981,yerga,65
745,bo‘lsin,64
241,o‘ziga,64
289,rahmat,64
900,otabekni,64
94,qaytib,63
111,keyingi,63
1181,yo‘l,63
323,yolg‘iz,62
