,word,freq
86,ham,1005
69,edi,984
56,u,827
60,bir,819
67,bilan,755
97,va,745
22,tom,689
35,bu,688
88,shu,459
41,uning,449
107,men,435
165,keyin,401
126,uchun,364
302,shunday,332
438,juda,328
27,hech,313
109,deb,307
719,ular,289
75,bo'lib,269
315,bo'lsa,267
332,uni,258
939,endi,244
164,yo'q,229
166,yana,227
4705,gek,219
192,sen,210
511,dedi,204
297,har,204
116,olib,203
896,o'sha,201
420,o'z,182
136,qanday,181
33,bo'ldi,180
1105,edilar,177
194,qilib,177
239,nima,170
412,lekin,170
604,yaxshi,169
558,qarab,166
991,bolalar,160
294,biroq,153
133,narsa,151
258,ketdi,147
55,boshladi,146
1306,borib,142
393,esa,138
320,unga,135
295,tomning,134
65,vaqt,130
214,agar,130
658,yerga,129
1381,buni,128
34,ekan,127
189,kerak,125
163,yerda,122
891,bor,119
78,emas,117
87,xuddi,117
132,boshqa,116
223,menga,111
2099,jo,111
43,butun,110
727,bo'lgan,103
4300,bekki,102
603,turar,102
500,o'zini,101
290,degan,100
144,edim,99
516,ha,99
651,chiqib,98
1107,ichida,98
495,ko'p,97
717,biror,97
1163,o'zi,97
140,bunday,96
2864,kishi,95
1304,qoldi,95
998,kelib,95
455,o'zining,93
284,bo'lar,91
943,albatta,90
417,ish,90
138,bola,89
147,turgan,88
129,qolgan,88
1879,faqat,88
1205,kuni,87
343,biz,86
70,chunki,85
868,nihoyat,84
1046,mening,84
426,holda,83
640,hozir,82
696,ikki,82
63,to'g'ri,82
28,kim,82
854,ularning,79
260,biroz,78
272,meni,77
221,qani,77
461,qaytib,77
2152,qiz,76
641,undan,76
561,bundan,73
372,bo'ladi,72
205,xola,72
21,bob,71
464,sid,70
666,katta,70
2452,topib,69
517,ancha,69
94,go'yo,69
6358,hindi,68
514,ketgan,68
110,qo'ydi,66
404,hammasi,64
347,yomon,64
1307,suv,63
150,keldi,62
211,senga,62
183,oldi,62
1460,o'tib,62
1171,ko'rib,61
403,bolalarning,61
1394,gap,61
291,so'z,61
474,oldida,59
105,tushib,59
259,polli,59
791,ustiga,59
795,mana,59
112,aytib,59
753,yurib,58
778,birdan,57
1572,turib,56
2021,kirib,55
184,ana,55
551,to'g'risida,54
489,qilgan,54
79,balki,53
356,shuning,52
479,yer,52
1223,hamma,52
995,boshladilar,51
2050,ularni,50
462,kelgan,50
2523,birga,50
114,vaqtda,50
167,marta,49
769,qilar,49
2252,yotgan,49
427,butunlay,49
716,kishilar,49
673,bo'lmasa,49
743,buning,48
908,sening,48
3765,beva,48
29,javob,47
1581,sekin-asta,47
754,borar,47
199,qara,46
1208,ikkinchi,45
483,olish,45
149,yoniga,45
298,xil,45
825,olgan,44
933,qo'yib,43
1183,oldiga,43
1500,yarim,43
108,seni,43
3699,ketib,43
504,eng,43
249,ediki,42
1767,yo'l,42
2227,ko'z,41
775,uzoq,41
169,tovush,41
101,qattiq,41
886,necha,41
701,yubordi,41
2263,yaqin,40
383,qochib,40
1001,yerdan,40
415,ko'rgan,39
634,siz,39
3426,yurar,39
1948,o'tirgan,39
47,chiqdi,39
3433,bular,39
708,og'ir,39
1991,hatto,39
317,shundan,39
4906,kechasi,38
725,o'ziga,38
1016,ketdilar,38
1348,orqasidan,38
261,hayron,38
1732,xotin,38
431,kun,38
1666,solib,38
1011,qildi,38
1917,mumkin,37
1852,o'n,37
286,yangi,37
1310,ishni,37
1472,o'ylab,37
313,yoki,36
2049,darhol,36
620,xafa,36
835,tikilib,36
123,berib,36
2501,meri,36
1851,unda,36
8703,missis,35
733,ustida,35
1416,bunga,35
3611,kishining,35
844,tomga,35
1520,tushdi,35
533,berdi,34
1125,davom,34
963,o'zing,34
4203,der,33
3272,tovushi,33
1140,o'rnidan,33
557,tomonga,32
1410,kimga,32
1340,yuz,32
1151,boshini,32
2874,ravishda,32
360,doim,31
1498,hammasini,31
20,birinchi,31
1501,soat,31
2390,so'zlar,31
1884,eski,31
1296,jim,31
2746,oh,31
1390,o'zim,30
3922,ichiga,30
2016,yetib,30
536,qo'lini,30
2144,techer,30
486,o'tirar,30
2228,tashlab,30
306,bilib,30
1497,bularning,30
589,yerni,29
1146,tortib,29
856,qadam,29
1090,qo'lidagi,29
540,harholda,29
195,yurgan,29
3612,dahshatli,29
1980,yigirma,29
923,xo'sh,29
2246,yoqqa,29
6339,potter,29
784,kichkina,29
467,qo'ygan,29
1202,xolasi,28
276,ammo,28
1017,ikkovlari,28
938,nega,28
980,kutib,28
1750,shuni,28
910,so'radi,28
1486,chiqarib,28
609,o'ylagan,28
642,qora,28
3901,bizning,28
152,to'xtab,28
1316,borgan,28
457,so'zlab,28
1420,so'zlarni,28
