,word,freq
12,the,8044
19,and,5894
111,i,4712
51,to,4543
4,of,3742
186,a,2960
16,in,2562
259,he,2543
211,that,2453
34,it,2140
180,was,1876
202,as,1581
203,we,1535
11,for,1534
10,is,1523
682,his,1467
31,you,1455
294,me,1446
47,not,1411
27,with,1320
105,my,1259
96,all,1166
266,be,1126
370,so,1093
24,at,1091
168,on,1081
178,but,1069
50,have,1065
640,her,1056
204,had,1038
664,him,945
628,she,810
281,when,772
327,there,767
9,this,667
190,which,656
45,if,649
125,from,636
46,are,604
260,said,569
212,were,548
419,then,543
6,by,534
37,or,525
193,could,493
313,one,491
404,do,490
25,no,485
355,them,465
343,they,464
447,what,461
49,will,458
227,us,456
387,must,451
248,up,445
249,some,441
688,out,429
205,would,428
340,shall,427
32,may,416
330,our,410
841,now,402
464,see,394
405,been,391
276,know,390
1529,can,384
421,more,373
208,time,369
181,an,361
570,has,347
1195,come,338
363,am,336
220,over,328
154,van,322
320,any,322
654,your,312
235,came,307
155,helsing,300
641,went,298
379,into,287
833,only,285
357,who,284
198,go,284
390,did,281
199,very,281
56,before,279
491,like,275
222,here,261
620,back,259
550,down,252
720,again,246
451,seemed,243
389,about,239
1077,even,234
392,well,232
463,such,229
250,way,226
226,took,224
134,lucy,223
441,than,222
106,dear,221
234,good,220
120,mina,220
55,where,219
997,think,219
526,their,218
1296,much,218
457,saw,217
277,how,217
637,man,216
393,though,216
195,through,214
624,too,209
240,night,206
236,after,206
1329,hand,206
707,room,205
771,face,205
175,should,198
415,door,195
286,made,193
692,tell,192
3661,poor,191
21,other,190
465,old,188
755,eyes,187
138,dr,187
112,jonathan,187
331,own,187
36,away,187
507,looked,184
322,work,183
107,friend,182
476,great,181
551,once,179
391,sleep,179
731,things,172
255,get,172
547,look,171
192,little,168
1165,make,166
305,just,164
939,might,159
449,day,157
191,got,157
5745,professor,156
270,found,156
328,yet,152
337,count,151
802,off,149
1906,god,149
450,long,148
1202,take,148
858,say,147
1261,thought,145
556,told,144
790,let,144
2028,men,144
100,life,143
257,asked,142
278,without,140
403,something,139
906,its,138
904,last,136
188,place,133
709,oh,133
804,till,133
1237,myself,132
888,first,132
782,fear,132
3641,arthur,131
788,ever,130
1996,heart,129
1684,house,129
902,never,128
742,two,128
691,knew,128
247,done,127
1052,himself,122
874,these,116
1106,quite,116
867,same,115
2695,want,114
301,find,114
409,still,113
442,began,113
633,harker,113
495,coming,112
698,nothing,112
402,window,108
772,put,106
500,round,106
723,head,105
716,many,104
1867,hands,104
136,diary,104
2107,help,103
555,however,103
849,hear,102
1710,mr,102
2077,blood,102
1013,right,102
768,mind,101
778,whilst,101
511,white,100
1678,open,100
453,full,100
693,anything,99
1240,moment,99
1417,keep,98
232,left,97
868,thing,97
174,morning,97
581,terrible,97
525,rest,95
1213,seen,94
5443,madam,91
1318,heard,91
200,far,91
1017,upon,90
1293,why,89
1,project,89
4441,mrs,89
394,bed,88
1294,cannot,88
1144,strange,88
1337,felt,87
473,each,87
1376,few,86
376,every,85
694,both,85
2009,since,85
6998,godalming,85
648,to-night,85
275,don't,85
375,read,84
1288,turned,84
35,give,82
319,light,82
494,those,82
563,being,82
3677,seward,82
2034,alone,81
504,others,81
85,new,80
3717,quincey,80
2011,love,80
1306,another,80
382,sort,80
1043,opened,80
20,most,80
908,stood,79
1238,looking,78
1266,better,77
1298,spoke,77
744,feel,77
3440,lord,76
493,home,76
2018,death,76
2259,believe,75
3676,john,75
561,dark,74
3715,morris,74
2282,does,74
1062,held,73
1451,together,73
1315,dead,73
942,lay,73
922,whole,73
4447,lucy's,73
951,end,73
1504,gone,72
73,set,72
185,seems,72
1123,between,71
1758,ready,71
251,red,70
388,ask,69
39,under,69
28,almost,69
627,close,69
1882,sat,69
474,side,69
1711,need,69
364,going,68
929,soon,68
1368,case,68
893,against,67
635,gave,67
701,speak,66
282,london,66
2667,hope,65
1148,seem,65
1208,word,65
1002,always,64
644,letter,64
2868,sweet,64
1544,try,64
1905,soul,63
807,write,63
23,world,63
1258,watch,62
777,part,62
1256,already,62
735,tried,61
3013,child,61
679,answered,60
114,journal,60
3557,miss,60
1301,lips,60
2080,days,60
2587,ship,59
396,enough,59
1114,fell,59
307,three,58
160,kept,58
455,kind,58
430,call,58
183,late,57
675,true,57
2410,present,57
2043,to-day,56
674,understand,56
10654,gutenberg-tm,56
1554,voice,56
481,strong,56
1701,leave,56
612,woman,56
796,passed,56
1523,times,56
407,water,56
268,along,55
676,because,55
927,horses,55
110,chapter,54
1591,perhaps,54
3305,body,54
3671,husband,54
2401,matter,53
13,use,53
769,suppose,53
533,heavy,53
159,harker's,53
182,hour,52
1433,suddenly,52
2101,trouble,52
1056,behind,52
710,young,52
1348,care,52
1230,air,51
797,sun,51
274,indeed,51
3374,box,51
1571,quick,51
1757,wish,51
653,trust,51
666,best,51
1509,cause,51
206,near,50
607,evidently,50
326,castle,50
467,ran,50
697,saying,50
2376,later,50
1524,silence,49
1169,grew,49
3703,fellow,49
1472,while,49
850,words,48
1475,asleep,47
267,able,47
1104,sure,47
1358,hard,47
1375,within,47
2232,used,47
1646,patient,47
837,taken,47
3184,boxes,46
2970,power,46
1656,key,46
3815,seward's,46
488,people,46
699,simply,45
1761,count's,45
513,big,45
1949,none,45
1332,strength,45
2264,feet,45
506,women,45
1456,around,45
649,to-morrow,45
656,happy,45
1961,until,44
887,answer,44
2017,change,44
741,wait,44
1461,wolves,44
1690,instant,44
605,wanted,44
1391,sound,43
591,lost,43
1767,half,43
1115,cold,43
1707,whom,43
239,stopped,43
1311,die,43
3635,says,43
2305,throat,43
432,also,43
261,called,43
1149,wind,43
1063,sunset,43
385,stay,43
897,meet,42
866,mean,42
1693,moved,42
1420,became,42
2237,whitby,42
1205,given,42
1191,sea,42
1959,o'clock,42
1771,laid,42
567,pass,42
2062,certain,41
770,doubt,41
2518,brain,41
1740,closed,41
2525,free,41
1176,wild,41
410,towards,41
519,course,41
926,small,41
751,duty,40
508,except,40
1303,teeth,40
1464,afraid,40
930,sight,40
860,amongst,40
173,next,40
2908,pain,40
871,either,39
690,sent,39
792,comes,39
1719,sir,39
1543,chance,39
315,least,39
3838,renfield,39
2628,remember,39
1885,everything,39
1251,drew,39
1377,minutes,39
2050,knowledge,39
1857,pale,39
1143,threw,39
3177,effort,38
714,follow,38
753,rose,38
1128,snow,38
1421,quiet,38
2250,getting,38
2007,friends,38
809,lest,38
2010,idea,37
2114,papers,37
5,dracula,37
483,outside,37
3559,westenra,37
541,high,37
2385,brought,37
4017,mother,37
1300,mouth,37
179,train,37
2117,study,36
2449,earth,36
3034,task,36
2039,learn,36
1807,silent,36
1869,seeing,36
7672,un-dead,36
1259,low,36
1362,ground,36
659,land,36
172,early,36
736,comfort,36
2583,purpose,36
632,yes,35
2003,glad,35
4191,tomb,35
1366,placed,35
2267,quickly,35
1555,raised,35
1663,save,34
3302,danger,34
3303,wake,34
608,expected,34
1841,forehead,34
756,taking,34
2614,letters,34
444,further,34
712,state,34
346,talk,34
1022,deep,34
9962,works,34
411,slept,34
1581,broken,34
2460,wonder,34
822,fire,34
1378,shock,33
2922,girl,33
684,lady,33
671,somewhat,33
613,usual,33
1427,doing,33
1531,moonlight,33
785,feeling,33
1129,cut,33
5094,coffin,33
544,black,33
3007,promise,33
417,sleeping,33
3171,cried,33
1921,written,33
2737,manner,33
4625,nature,33
94,act,33
2426,brave,33
1837,thin,33
1078,turn,33
1276,beside,33
2872,sad,32
3698,grave,32
586,beginning,32
938,speaking,32
1912,hours,32
1798,send,32
2672,bad,32
1731,table,32
209,possible,32
1003,really,32
293,struck,32
1192,hold,32
985,order,32
1558,arms,32
279,having,32
652,bring,32
2,gutenberg,31
1262,less,31
3257,herself,31
838,seat,31
952,road,31
658,beautiful,31
