,word,freq
13,the,4575
20,and,3120
102,i,2919
4,of,2918
113,to,2263
144,my,1819
70,a,1497
94,in,1233
68,was,1064
101,that,1060
183,me,876
21,with,736
142,but,711
188,had,704
25,you,640
335,he,627
192,which,593
28,it,590
143,as,573
164,not,552
373,his,550
12,for,540
6,by,496
254,on,490
10,this,462
69,from,411
151,be,393
155,have,387
444,her,374
17,at,343
11,is,341
126,when,339
207,were,320
31,or,265
1177,your,261
559,she,255
96,one,227
134,an,227
416,him,226
232,all,223
235,they,218
121,so,217
514,if,216
145,will,205
271,could,204
512,are,201
308,would,198
695,been,195
97,their,190
380,we,190
18,no,186
390,who,183
111,more,175
400,these,165
106,some,161
103,should,159
889,now,158
878,yet,154
629,before,150
139,myself,145
350,any,140
132,upon,137
223,what,137
283,our,137
567,do,137
389,its,133
105,them,133
146,only,132
61,man,132
428,into,129
110,am,129
295,did,127
173,life,124
621,every,122
191,than,120
26,may,116
1618,father,113
221,own,113
327,first,113
264,then,113
116,shall,111
353,might,111
245,time,109
159,can,108
743,eyes,107
518,said,103
339,even,99
356,how,99
153,such,98
651,being,98
747,saw,97
276,most,95
1148,towards,95
586,those,95
441,found,93
227,other,92
719,night,91
222,mind,91
1,project,87
269,where,85
2628,elizabeth,85
857,day,85
309,ever,84
122,very,84
438,whom,84
432,there,84
890,again,84
949,work,81
622,must,81
174,thought,81
608,felt,80
318,after,80
603,heart,78
454,death,78
1545,feelings,76
200,up,75
669,many,75
247,made,72
187,still,72
1128,dear,72
483,soon,72
231,friend,70
575,also,70
180,during,69
243,passed,69
981,while,69
935,has,68
880,never,68
117,thus,67
396,us,67
450,miserable,66
766,human,64
1631,same,64
319,became,64
865,few,63
488,heard,63
323,place,63
463,like,63
547,about,62
1412,sometimes,60
1236,little,58
299,appeared,58
1475,love,58
1185,over,58
554,see,57
2038,indeed,56
7560,gutenberg-tm,56
2711,clerval,56
422,often,56
1090,friends,56
242,country,55
591,nature,55
612,misery,55
395,among,54
4017,justine,54
779,hope,53
858,words,53
30,away,53
423,days,53
1784,although,53
901,several,53
1459,until,52
1654,old,52
552,through,52
649,cannot,52
413,whose,52
1462,return,52
4586,cottage,51
566,know,51
5452,felix,50
1137,feel,50
1339,great,49
2171,despair,49
1609,happiness,49
631,world,49
670,long,48
158,alone,47
898,happy,47
1396,voice,46
1632,another,46
1066,scene,45
1276,years,45
1167,sun,45
314,far,45
544,poor,45
348,much,45
340,part,44
641,out,44
3747,horror,44
404,light,44
77,new,44
1324,well,44
129,came,43
1486,men,43
713,creature,43
814,fear,43
896,affection,42
296,make,42
362,nothing,42
22,almost,41
167,two,41
1233,joy,41
665,power,40
431,hands,40
260,near,40
357,possessed,40
284,house,40
354,himself,39
190,pleasure,39
288,mountains,39
616,morning,39
398,thoughts,39
1255,months,39
1004,without,39
2839,works,39
135,idea,39
729,nor,38
446,tale,38
2101,entered,38
1987,countenance,38
181,hours,37
1098,journey,37
1720,come,37
1072,geneva,37
407,seemed,37
1062,kind,37
780,left,37
3210,moment,37
219,down,37
412,earth,37
1718,therefore,37
1290,good,36
2398,took,36
1272,soul,36
326,however,36
479,lost,36
1778,ice,36
2196,cause,35
684,discovered,35
1820,why,35
1911,within,35
176,child,35
821,around,35
2049,spirit,34
208,once,34
1505,gentle,34
344,become,34
881,taken,34
60,last,34
462,form,34
1126,here,34
725,rest,34
2122,knowledge,33
2229,believe,33
1134,already,33
130,think,33
1187,sea,33
517,each,32
2294,peace,32
1909,remained,32
822,room,32
365,family,32
515,read,32
1835,strange,32
2295,continued,32
317,sensations,32
674,nearly,32
795,existence,32
2228,knew,32
