,word,freq
13,the,7886
112,i,6559
20,and,6430
52,to,5151
4,of,4451
105,a,4376
17,in,2775
32,you,2667
528,was,2496
35,it,2155
123,my,2155
160,me,1902
340,he,1835
597,her,1653
171,as,1571
229,that,1541
48,not,1504
356,had,1480
28,with,1415
592,she,1383
11,is,1315
12,for,1284
358,his,1203
25,at,1163
232,on,1127
157,but,1123
51,have,1069
204,be,1036
187,from,727
38,or,691
7,by,663
1123,your,662
321,him,658
10,this,654
234,would,651
817,all,610
409,were,608
26,no,607
47,are,601
50,will,598
165,so,596
60,an,585
192,what,584
444,which,583
559,now,574
587,said,556
201,one,553
544,when,541
479,mr,506
46,if,502
458,could,500
263,they,481
285,there,461
996,“i,432
936,then,418
987,do,400
303,been,388
560,out,381
651,up,375
398,some,364
163,them,364
337,did,355
299,like,350
422,more,349
431,very,345
147,their,345
1307,am,340
638,little,333
139,its,320
161,must,313
6799,rochester,294
533,we,291
424,than,288
270,should,287
57,before,282
172,only,278
1272,miss,278
341,never,276
300,see,273
672,into,263
169,who,260
211,such,253
968,thought,251
405,over,249
131,has,242
1325,still,241
1286,any,241
542,mrs,240
267,too,239
563,long,234
1998,shall,233
497,again,232
871,down,229
177,how,227
965,well,226
656,can,225
351,yet,225
599,about,221
605,looked,215
600,time,214
1169,go,213
176,know,210
397,think,210
1649,seemed,209
5,jane,200
364,own,200
1146,“you,195
56,where,195
532,day,194
374,much,193
853,two,190
997,come,188
1086,saw,185
251,face,183
1056,after,182
618,heard,179
184,say,178
494,myself,175
376,came,174
290,good,174
949,room,174
255,hand,174
1128,“and,174
106,first,174
215,eyes,173
248,last,171
1064,once,166
2387,sir,166
352,might,161
585,john,160
520,made,160
1218,felt,160
703,while,160
258,these,159
960,here,155
642,asked,154
33,may,153
22,other,153
308,make,151
1167,house,150
896,ever,149
942,door,148
188,heart,148
1132,look,147
846,just,147
1100,without,145
40,under,144
666,soon,144
1430,went,143
822,through,142
940,nothing,142
921,love,142
694,left,140
410,take,140
