,word,freq
8,—,80
149,bilan,50
55,edi,42
153,bir,37
163,ham,36
34,deb,33
541,kimsanboy,31
300,domla,29
9,u,29
86,bu,23
12,shu,19
102,boʻlib,18
409,keyin,17
138,uning,17
299,olimjon,16
30,olib,14
135,juda,13
50,mahbuslar,12
213,uchun,12
458,kerak,11
83,oʻsha,11
335,unga,11
372,ketdi,10
1284,yana,10
421,qilib,10
276,borib,10
28,yangi,10
250,bor,9
305,odam,9
357,kelib,9
353,qolgan,9
232,degan,9
145,uni,8
33,ularni,8
462,lak,8
384,boʻlgan,8
172,barak,8
39,va,8
43,koʻp,8
134,menga,7
388,raqam,7
751,shunday,7
763,nima,7
884,stalin,7
717,qoldi,7
1440,stalinning,7
419,yozib,7
180,ular,6
302,qarab,6
1095,gaplarni,6
1469,boshi,6
294,oʻn,6
761,ozod,6
548,suvrati,6
103,ketgan,6
105,birovga,6
234,boʻlsa,6
925,kuni,6
1470,tomonga,6
656,domlaning,6
92,har,6
1106,endi,6
461,qora,6
2069,sanitar,6
859,boʻldi,6
803,ekan,6
336,koʻz,6
11,emas,6
662,toʻgʻrisida,5
610,bitta,5
345,yosh,5
764,boʻladi,5
760,kofirlar,5
223,yozilgan,5
281,yoʻq,5
376,edim,5
453,bilib,5
1069,imzo,5
744,marta,5
585,otasi,5
945,chiqib,5
1308,koʻzi,5
445,agar,5
1083,mansurov,5
978,xalq,5
552,pioner,5
66,yo,5
82,oʻtib,5
195,xuddi,5
861,ikki,5
968,dedi,5
170,yangilar,5
902,bunaqa,5
972,pavlik,5
640,oʻtgan,5
319,xam,5
444,qoʻyilgan,4
389,yozish,4
966,oʻqib,4
1033,kimsanboyning,4
674,buyuk,4
136,tanish,4
724,javob,4
1644,suvratini,4
370,boshini,4
1702,qolgandi,4
1569,yolgʻon,4
600,hatto,4
142,koʻzlari,4
373,men,4
374,lagerda,4
2074,shtokman,4
708,orasida,4
1018,seni,4
706,fuzuliy,4
171,yalangʻoch,4
159,boshqa,4
480,berib,4
691,albatta,4
160,mahbuslarga,4
956,qoʻydi,4
206,turgan,4
396,ruda,4
1050,ish,4
321,ammo,4
1063,deya,4
522,qilish,4
71,ularning,4
45,beri,4
57,kelgan,4
476,ustiga,4
106,oʻz,4
356,nazoratchi,4
1064,turib,4
306,hech,4
1498,oʻng,4
93,biri,4
1583,ertalab,4
272,kim,4
540,oʻtdi,4
117,lager,4
270,oftobda,4
1804,dedim,4
802,qilgan,4
1818,sizni,4
510,yerga,4
468,qotib,3
469,qoladi,3
1264,ma’lumot,3
1266,uch,3
1508,oldida,3
574,bolalari,3
1203,birdan,3
1198,eshitib,3
1273,kimsanboyni,3
1514,kelgandan,3
216,yaxshi,3
1916,boshladi,3
1098,ma’lumotlarni,3
192,esa,3
484,yoniga,3
2024,ayting,3
1952,sizga,3
1504,yoqqa,3
2085,pichoq,3
1038,tirik,3
1056,soʻz,3
439,olingan,3
438,qiyib,3
241,shisha,3
352,toʻplanib,3
435,keladigan,3
1117,qoʻygan,3
282,soqchilar,3
284,ularga,3
285,yaqin,3
287,mendan,3
525,ulugʻ,3
228,birida,3
1135,tashkiloti,3
575,undan,3
1211,aytib,3
625,mirzo,3
1136,qoʻl,3
333,turardi,3
427,chap,3
1401,keldi,3
832,yoshga,3
1291,ordeni,3
99,lagerlarida,3
1796,oldimga,3
79,oradan,3
699,gap,3
701,fuzuliyning,3
1294,olimjonov,3
1738,qoʻli,3
881,faol,3
58,mahbuslarning,3
1705,uzoq,3
29,mahbuslarni,3
920,xil,3
813,ozib,3
151,barakda,3
68,boʻlardi,3
148,sim,3
1313,yubordi,3
1847,kaysi,3
1746,toʻgʻrilab,3
1315,qaytib,3
1384,urib,3
890,viloyat,3
1305,dohiy,3
929,paytida,3
1902,lakni,3
89,kelganlar,3
1399,hukm,3
735,taqib,3
860,bola,3
95,besh,3
756,tuyaning,3
795,qilinadi,3
13,dunyoning,3
14,oʻzida,3
1434,yolqinov,3
1370,koʻli,3
794,yotgan,3
1289,«hurmat,3
166,beradilar,3
1290,belgisi»,3
1743,burilib,2
488,etib,2
489,yettinchi,2
1741,chapga,2
479,boya,2
789,odamlar,2
481,roʻyxatga,2
2048,baribir,2
1685,qoʻlini,2
1819,ishga,2
1097,toʻplangan,2
773,koʻtarib,2
1735,chiqarib,2
1736,olishgan,2
1737,shundan,2
1090,beraman,2
1091,uyga,2
1824,seksot,2
2033,qildimmi,2
2034,bilmadim,2
1602,otilib,2
499,yolqinov»,2
498,«kimsanboy,2
497,raqami,2
1739,goh,2
898,chaqirib,2
2038,bilmayman,2
1740,oʻngga,2
496,«yeye3781»,2
1114,boʻl,2
475,bankani,2
1143,boshqatdan,2
436,joyidan,2
820,qadar,2
824,oʻqishdi,2
826,yetib,2
1758,isib,2
870,yozgan,2
868,oʻtirib,2
1783,tuproqqa,2
1778,terdan,2
440,ustidan,2
411,bosh,2
1145,kerakli,2
847,boʻlsang,2
851,oʻgʻil,2
406,ilib,2
405,joyiga,2
403,lagerning,2
1559,kulgidan,2
883,lenin,2
2070,yugurib,2
474,solingan,2
456,raqamini,2
1107,oʻylab,2
1814,joyga,2
467,toshdek,2
1111,chekdi,2
893,tantanali,2
798,tuya,2
799,ignaning,2
800,teshigidan,2
804,ana,2
814,ipdek,2
1745,sogʻ,2
889,qiladi,2
1119,xar,2
888,deklamatsiya,2
887,mahorat,2
1121,dushanba,2
448,tashlab,2
446,mahbus,2
1086,otam,2
520,vatanga,2
1606,koʻzni,2
608,kitob,2
957,moskvada,2
1946,olgani,2
1950,aytdim,2
615,terib,2
702,gʻazaliga,2
953,portfelidan,2
613,noyob,2
1015,aytgan,2
705,birovi,2
1019,butunittifoq,2
771,nega,2
709,navoiy,2
604,boʻyicha,2
951,tikilib,2
1022,nomli,2
601,uyiga,2
711,mashhur,2
1961,oʻrnidan,2
1026,slyotida,2
1028,yerda,2
1001,joyida,2
1000,hamma,2
1667,«seksotlar»,2
1668,«stukachlar»,2
667,qoyil,2
663,suhbatlar,2
976,bilmasdi,2
